# ------------------------------------------------------
# Last Update: verified by Valminder September 08, 2007.
# ------------------------------------------------------
#
# Draw a playing card and "analyse" its significance
#
# Table created for Table Master by Phil Masters, 1995.
#
# Note: This table is not based on any particular method of
# fortune-telling using playing cards, chiefly because I don't
# know anything about such methods. Rather, it consists of a
# number of plot and character events that sound right to me.
# It is intended for use as a quick GM idea-generator, and is
# especially suited to melodramatic sorts of games. It is
# *particularly* appropriate for use with *Castle Falkenstein*,
# which uses playing-cards instead of dice for most purposes -
# but it is not solely for that game, and it is not based on
# any official *Falkenstein* rule or table.
#
# -------------------------------------------------------------------------
#
# To call this table from another one:
#    [ADV Plot Ideas Card Based.Generate(%NumCards%)
#
#    Parameters: (%NumCards%)
#
#    NumCards:   Number of Cards to draw.
#                1-8 : Will draw 1 to 8 cards. 
#                 9  : Random 1-4 cards.
#                10  : Random 3-6 cards. (DEFAULT)
#                11  : Random 5-8 cards.
#
# -------------------------------------------------------------------------
#
# Modified by Joey joe joe spring 2006
#    graphics added fall 2006
#    requires PlayingCardGraphics file
#
# Modified by Valminder, September 2007.
#    Adapted for TSv5.
#    I changed the "START" line.
#

%Path1%,<IMG SRC="Graphics\Card Graphics\

%Path2%,.png" WIDTH="100" HEIGHT="150" BORDER="0">

%Card1%,0
%Card2%,0
%Card3%,0
%Card4%,0
%Card5%,0
%Card6%,0
%Card7%,0
%Card8%,0
%Counter%,0
%Max%,0
%NumCards%,0

@NumCards,10,How many cards to draw,1,2,3,4,5,6,7,8,Random Low (1-4),Random Medium (3-6),Random High (5-8)

:Start
1,{Status~By Phil Masters 1995, Joey joe joe 2006, Valminder 2007}[Generate=%NumCards%]

:Generate
1,|Counter=1|[CardDraw].[Display=1]
2,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=2]
3,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=3]
4,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=4]
5,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=5]
6,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=6]
7,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=7]
8,|Counter=1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw][~Transition]|Counter+1|[CardDraw].[Display=8]
9,|NumCards={Dice~1d4}|[Generate=%NumCards%]
10,|NumCards={Dice~1d4+2}|[Generate=%NumCards%]
11,|NumCards={Dice~1d4+4}|[Generate=%NumCards%]

:Display
1,<br><br>%Path1%%Card1%%Path2%
2,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2%
3,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2%
4,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2% %Path1%%Card4%%Path2%
5,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2% %Path1%%Card4%%Path2% %Path1%%Card5%%Path2%
6,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2% %Path1%%Card4%%Path2% %Path1%%Card5%%Path2% %Path1%%Card6%%Path2%
7,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2% %Path1%%Card4%%Path2% %Path1%%Card5%%Path2% %Path1%%Card6%%Path2% %Path1%%Card7%%Path2%
8,<br><br>%Path1%%Card1%%Path2% %Path1%%Card2%%Path2% %Path1%%Card3%%Path2% %Path1%%Card4%%Path2% %Path1%%Card5%%Path2% %Path1%%Card6%%Path2% %Path1%%Card7%%Path2% %Path1%%Card8%%Path2%

# Valminder 2007: This is the main part I modified to make the output easier to read.
# If you want the original subtable, you can find it below.
:!CardDraw
1,|Card%Counter%=spades1|Death, General Terrible Doom <font size=1>(Ace of Spades)</font>
2,|Card%Counter%=spades2|Ambiguous Danger <font size=1>(Two of Spades)</font>
3,|Card%Counter%=spades3|The Danger of Violence is Treachery <font size=1>(Three of Spades)</font>
4,|Card%Counter%=spades4|Violence is Planned <font size=1>(Four of Spades)</font>
5,|Card%Counter%=spades5|Striving Fails - Struggle is Useless <font size=1>(Five of Spades)</font>
6,|Card%Counter%=spades6|Peace - an End to Struggle <font size=1>(Six of Spades)</font>
7,|Card%Counter%=spades7|Violence Serves its Purpose <font size=1>(Seven of Spades)</font>
8,|Card%Counter%=spades8|A Failure of Destiny - a Goal Beyond Reach <font size=1>(Eight of Spades)</font>
9,|Card%Counter%=spades9|Balanced Conflict - an Even Match <font size=1>(Nine of Spades)</font>
10,|Card%Counter%=spades10|Warfare, Mass Conflict <font size=1>(Ten of Spades)</font>
11,|Card%Counter%=spades11|A Very Dangerous Individual <font size=1>(Jack of Spades)</font>
12,|Card%Counter%=spades12|Sinister Ambition <font size=1>(Queen of Spades)</font>
