# ---------------------------------------------------
# Last Update: verified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Plot Ideas
#
# Copyright 2000 by Bruce A. Gulke
#
# Modified by Valminder April 2002
#    I modified the "START" line.
#    I added some links to these other tables:
#        Countries.Land
#        Creatures.Animal
#        Creatures.Fantastic
#        Formal Names.Start
#        Magic Weapon Names.Generate
#        Names Generator.NAME Random
#        Religion.Deities
#
# Modified by Valminder, Nov 2005
#        Removed header from [Start]
# Modified by Valminder, Feb 2006
#        Added "Alternate" subtable.
# Modified by Valminder, July 2010
#        Added 100 Epic Adventure Ideas (Epic Level Handbook)
#        Added 101 Planar Adventure Ideas
#        Added 100 Adventure Ideas from the Dungeon Master's Guide
#        Added link to "ADV Adventure Seed Generator" and move it to "~Reference Misc"
#

%A%,0

:Start
1,{Status~Bruce A. Gulke 2000, Valminder 2002,2010}[Generate]

;Generate
1,<u><b>General</u>:</b> [GeneralPlot]<br><br>
_{Color~Purple,EPIC:} [EpicAdventureIdeas_ELH]<br><br>
_{Color~Purple,PS:} [PlanarAdventureIdeas]

;GeneralPlot
6,{Cap~[Opening]} [Directive] [Action]. {Cap~[Reward+%A%]}.
1,[DMGAdventureIdeas]
3,[ADV Adventure Seed Generator.Generate]

# No reward
:Alternate
1,[Opening] [Directive] [Action]

:Opening
1,the party is
2,the PCs are
3,the group is

:Directive
1-7,hired by [Director] to|A=-2|
8-9,ordered by [Director] to|A=7|
10-11,blackmailed by [Director] to|A=8|
12,asked by [Director] to|A=8|

:Director
1-3,[Leader]
4-5,a mysterious stranger
6,a foreign noble
7-8,the {Cap~[Guild Types]} Guild
9,the temple of [~Religion.Deities(2)]
10,a [Person]
11,a barbarian chieftain
12,a non-human being

:Guild Types
1,thieves
2,mages
3,merchants
4,assassins
5,alchemists
6,mercenaries

:Person
1,adventurer
2,thief
3,explorer
4,noble
5,child
6,priest
7,sage
8,military officer
9,knight
10,wizard
11,merchant
12,spy

:Leader
1,[Male Leader]
2,[Female Leader]

:Male Titles
1-25,Lord
26-47,Baron
48-64,Count
65-78,Duke
79-86,Prince
87-90,King
91,Emperor
92-100,High Priest

:Female Titles
1-25,Lady
26-47,Baroness
48-64,Countess
65-78,Duchess
79-86,Princess
87-90,Queen
91,Empress
92-100,High Priestess

:Male Leader
1-3,the [Male Titles]
4-5,[Male Titles] [~Names Generator.NAME Random]
6,[Male Titles] [~Formal Names.Start]

:Female Leader
1-3,the [Female Titles]
4-5,[Female Titles] [~Names Generator.NAME Random]
6,[Female Titles] [~Formal Names.Start]

:Action
1,[Actions I]
2,[Actions II]
3,[Actions III]
4,[Actions IV]

:Actions I
1,[Raid]
2,[Destroy]
3,[Kill]
4,[Overthrow]

:Actions II
1,[Build]
2,[Deliver]
3,[Escort]
4,[Protect]
5,[Rescue]

:Actions III
1,[Explore]
2,[Find]
3,[Investigate]

:Actions IV
1,[Assassinate]
2,[Capture]
3,[Smuggle]
4,[Spy]
5,[Steal]

:Capture
1,capture {AorAn~[Person]} in [Place]
2,kidnap the [Relative] of [Leader]

:Destroy
1,destroy {AorAn~[Item]} in [Place]
2,destroy [Building] in [Place]

:Kill
1,kill {AorAn~[~Creatures.Fantastic]} in some [Wilderness]
2,hunt {AorAn~[~Creatures.Animal]} in some [Wilderness]

:Overthrow
1,overthrow [Leader] in [Place]

:Raid
1,raid a {AorAn~[Settlement]} in [Place]
2,raid a barbarian tribe in some [Wilderness]
3,raid a non-human tribe in some [Wilderness]

:Build
1,build {AorAn~[Building]} in [Place] for [Leader]
2,build them {AorAn~[Building]}
3,build {AorAn~[Building]} in [Place] for them

:Deliver
1,deliver {AorAn~[Item]} from [Place] to [Place]
2,deliver {AorAn~[Item]} from [Place] to [Place] within {AorAn~[Timeframe]}

:Escort
1,escort {AorAn~[Person]} from [Place] to [Place]
2,escort their [Relative] from [Place] to [Place]

:Protect
1,protect {AorAn~[Person]} in [Place] from [Threat]
2,protect {AorAn~[Item]} in [Place] from [Threat]
3,protect a [Settlement] in [Place] from [Threat]
4,protect them from [Threat]

:Rescue
1,rescue {AorAn~[Person]} from [Place]
2,rescue {AorAn~[Person]} from [Threat-2] in [Place]
3,retrieve {AorAn~[Item]} from [Threat-2] in [Place]
4,recover {AorAn~[Item]} from {AorAn~[Building]} in [Place]

:Explore
1,explore some [Wilderness] for them
2,explore some [Wilderness] for {AorAn~[Person]}

:Find
1,find {AorAn~[Person]} in [Place] for [Leader]
2,find {AorAn~[Item]} in [Place] for {AorAn~[Person]}
3,find their [Relative] in [Place]
4,find their [Relative] in some [Wilderness]
5,find {AorAn~[Item]} in some [Wilderness]

:Investigate
1,investigate stories about a haunted [Building]
2,investigate local rumors about [Threat-2]

:Assassinate
1,assassinate [Leader] in [Place]

:Smuggle
1,smuggle {AorAn~[Person]} [Direction] [Place]
2,smuggle {AorAn~[Item]} [Direction] [Place]

:Spy
1,spy on {AorAn~[Person]} for them
2,spy on [Place] for {AorAn~[Person]}
3,spy on {AorAn~[Person]} for {AorAn~[Person]}
4,spy on [Place] for [Place]

:Steal
1,steal {AorAn~[Item]} from {AorAn~[Person]} in [Place]
2,steal {AorAn~[Item]} from [Place]
3,steal {AorAn~[Item]} from {AorAn~[Leader]} in [Place]

;Place
1,Ilmara
1,Ulthia
1,Yar
1,Damaristan
10,the woods
10,the desert
10,the hills
1,Zeldora
1,Rhijad
1,Gothmoor
1,Aelorea
1,Spÿre
1,Talîsmarr
1,Shesada
1,Al'Sharaq
1,Ran Jheru
50,[~Countries.Land]

;Item
1,weapon
1,item of jewelry
1,enchanted item
1,egg
1,statue
1,gem
1,book
1,scroll
1,idol
1,chest
10,[~Magic Weapon Names.Generate]

:Wilderness
1,woodlands
2,hills
3,mountains
4,desert regions
5,islands
6,jungle
7,ruins
8,caverns
9,swamplands

:Threat
1,thieves
2,a demon
3,bandits
4,assassins
5,orcs
6,a necromancer
7,an enemy army
8,the Undead
9,destruction
10,discovery

:Direction
1,into
2,out of

:Relative
1-4,son
5-8,daughter
9-10,brother
11-12,sister
13,mother
14,father
15,spouse

:Settlement
1-3,hamlet
4-5,village
6,town
7,city
8,[Building]

:Building
1,castle
2,tower
3,stronghold
4,manor
