# ---------------------------------------------------
# Last Update: modified by Valminder December 2, 2013.
# ---------------------------------------------------
#
# Book Descriptions
#
# Books a character might find in a
# mage's study or an old library.
#
# HTML-formatted
#
# Originally created by Bruce A. Gulke
#
# Improved by Scott Barrie
#
# Modified by Valminder April 2002
#    I added a link to this other table:
#        Rune Generator.GenRune
#    Added link to: (From Michael Long's table "FR_books.tab"
#       Miscellaneous.Carving Material
#       Miscellaneous.Cleanliness
#       Miscellaneous.Fabric
#       Miscellaneous.General Quality
#       Miscellaneous.Precious Metal
#
# Modified by Valminder, August  2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#
# Modified by Valminder, December 2013.
#    Added "Age" from same table modified by someone else. Sorry, I don't have the name.
#

%Mult%,1
%Mult2%,1
%Mult3%,1
%Value%,0

:Start
1,{Status~By Bruce A. Gulke, Scott Barrie, Valminder 2002-2006}
_<b>Title:</b> [~Book Titles.Generate]<br>
_<b>Description:</b> [Description]<br>
_<b>Language:</b> [~Language]<br>
_[Age]
_<b>Writing Quality:</b> [~WritingQuality]<br>
_<b>Condition:</b> [General Quality]<br>
_<b>Value:</b> [Value]|Value*%Mult%||Value*%Mult2%||Value*%Mult3%||Value={Round~0,%Value%}|[AddComma.Start(%Value%)] gp.

# -----------------------------------------------------------------------

:Description
1-6,The book is [~Size], with covers of [~Cover] (mainly [~Miscellaneous.Color]). The [~Pages] pages are [~Binding].
7,The book is [~Size], with covers of [~Cover] (mainly [~Miscellaneous.Color]). The [~Pages] pages are [~Binding]. In addition, [~Special] and [~Special].
8-10,The book is [~Size], with covers of [~Cover] (mainly [~Miscellaneous.Color]). The [~Pages] pages are [~Binding]. In addition, [~Special].

;Size
2,a hefty tome
4,a thick work
4,a thin volume
9,average in size

;Cover
25,deerhide
3,[~Creatures.Humanoid2] skin stretched over thin wood ([~Miscellaneous.Wood])
45,leather
5,polished metal ([~Miscellaneous.Metal])
7,scales stretched over thin wood ([~Miscellaneous.Wood])
15,thin wood ([~Miscellaneous.Wood])
10,heavy wood ([~Miscellaneous.Wood])
1,[~Miscellaneous.Other Material]

;Pages
1,dried skin
12,parchment
2,stamped metal ([~Miscellaneous.Metal])
5,vellum
3,wood ([~Miscellaneous.Wood])
3,woven hemp
2,papyrus
1,thin wood sheets ([~Miscellaneous.Wood])
1,paper

;Binding
4,bound with {Dice~2d5} metal rings[Wrapping][ContainerStart]
2,bound[Wrapping] and tied with [Cord] cord[ContainerStart]
2,unbound[Wrapping] and tied with [Cord] cord[ContainerStart]
4,sewn into the spine
4,loose

;ContainerStart
1000,, also [Container]
4,

;Container
7,placed in a [ContainerMaterial] box
5,placed in a [ContainerMaterial] Scroll Case
2,placed in a [ContainerMaterial] box with [Corners]
3,placed in a [ContainerMaterial] box with [Corners] and [Lock]
3,placed in a [ContainerMaterial] box and [Lock]
1,wrapped in a dirty [Miscellaneous.Color] cloth
1,wrapped in a [Miscellaneous.Color] velvet cloth
1,placed in a case of stained wood ([~Miscellaneous.Color] / [~Miscellaneous.Wood])

;ContainerMaterial
2,[~Miscellaneous.Carving Material]
1,[~Miscellaneous.Wood]

;Corners
1,[~Miscellaneous.Precious Metal] corners

