# Caravans, their masters, their cargo, their workers, their guards, and their destinations
#
# Adapted by Tony Marker from a Tablemaster table created by Wintertree Software
# The beginning of the table, and the portion that generates the goods
# is therefore...
# Copyright 1995, Wintertree Software 
#
# The portion of the table that adds laborers, animal handlers and
# guards is created by Tony Marker. http://www.breminor.com/id93.htm
#
# Caravan Generator v3: joey joe joe
# The option of a "Mixed" type of caravan, additional types of caravan transporters and goods, 
# and the elimination of "good" demi-humans working with slaves or half-orcs.
# Other notes:
# I am fairly certain that most caravans of "Exotic effelants" would loose money on the feed 
# for the effelants, but I liked the idea. Chi-Cats are a type of giant lynx/panther creature 
# that has been domesticated by elves.  Gnomish "Clockwork Wagons" have a nasty habit of exploding,
# thus limiting their widespread use. (Pray for your soul if you encounter a HUGE clockwork caravan! 
# The potential chain reaction of explosions would create an immense crater.)
#
# Darren Hill provided a correction of coding for Guard selection
#
# Updated to TS5.0 By Ashon
# Added Traveling Events - Ashon
# Modified [Town Names] to use [Countries]
#
# Depreciated:
# Requires a name generator file and a town name generator like "Townfolk.tab" and "Town Names.tab" (see the "Start" group)
#


%amount%,0
%gamount%,0
%num_carriers%,0
%actual_qty%,0
%set_size%,5
%size%,0
%type%,0
%animal_type%,0
%size_factor%,0
%cargo%,0
%skill%,0
%type_name%,0
%more_rolls%,0
%temp%,0
%carry_capacity%,0
%temp2%,0
%a_handlers%,0
%laborers%,0
%guards%,0
%value_factor%,0
%guard_number%,0
%guard_type%,0
%mount%,0
%ac%,10
%leader_type%,0
%leader_level%,0
%guard_race%,0
%reset%,1
%Evil%,1
%LRace%,0
%Ranger%,0

# Parameters
@set_size,5,Enter the size of the caravan you want generated,Small,Medium,Large,Huge,Random

:Start
#Change the #'d lines below to refer to your favorite Name generator and Town Name Generator
1,{Status~By Tony Marker, Joey Joe Joe, Darren Hill, and Ashon}
_{Reset~GenerateGoods}{Reset~GenerateGuards}|animal_type= 0|
_|LRace=[LRace]||Evil=[EvilCheck]|
_{If~%set_size% = 5 ? [Define_Size] / [Define_Size=%set_size%]}[Set_Type]
_[Size=%size%] caravan (%num_carriers% %type_name%s) led by [Townfolk.Start],  
#_[Size=%size%] caravan (%num_carriers% %type_name%s) led by [Names Generator.Start],  
#_[~Skilled] %LRace% caravan leader, on the way to [Town Names.Start].<br><br>
_[~Skilled] %LRace% caravan leader, on the way to [Countries.Start].<br><br>
_<b>Caravan Goods:</b><br>|temp=%num_carriers%|
_{IIf~%type_name%=transporter ? [LoadMixed]: [Load]}
_<b>Traveling Events:</b><br>
_[Events]
_<br><b>Caravan Workers:</b><br>
_[Laborers]
_[AnimalHandlers]<br><br>
_<b>Caravan Guards:</b><br>[Guards]<hr>

# ----------
# Event Generating Section
# ----------
:Events
1,[Weather]<br>
_[Violent]<br>
_<br>

;EventLoop
1,[Weather]
2,[Violent]
3,[Other]

;Weather
5,No weather conditions impeded the caravan.
1,A flood on the road delayed the caravan for {Dice~3d6} days.
1,A blizzard shut down a mountain pass for {Dice~3d6} days.
1,Rain slowed the caravan by {Dice~2d2} days.
1,Tornados ripped across the plains and forced the caravan to find shelter for {Dice~2d3} days.
1,Windstorms slowed the caravan by {Dice~3d2} days.

;Violent
3,No violent actions beset the caravan.
1,Attacked by {Dice~1d100} {Plural~[~Creatures.Start]}.
1,A raiding party of {Dice~4d10} {Plural~[~Creatures.Humanoid]}.
1,A roving band of {Plural~[~Creatures.Monsters]}.
1,The [~Organizations.Start] raided the caravan.

# ----------
# This section defines the size and type of the caravan
# ----------

:Set_Size
10,|size=1|
8,|size=2|
2,|size=3|
3,|size=4|

:Size
1,A small
2,A medium
3,A large
4,A huge

:Define_Size
1,[Set_Size=1]
2,[Set_Size=11]
3,[Set_Size=18]
4,[Set_Size=20]
5,[Set_Size]

:Set_Type
2,[Type=1][Foot_Size=%size%]
3,[Type=2][Pack_Size=%size%]
3,[Type=3][Wagon_Size=%size%]
3,[Type=4][Mixed_Size=%size%]
1,[Type=5][Exotic_Size=%size%]

:Foot_Size
1,|num_carriers={3d6+2}||size_factor=.75||laborers=0||a_handlers=0||guards=0|
2,|num_carriers={3d11+17}||size_factor=1||laborers=1||a_handlers=0||guards=0|
3,|num_carriers={2d21+38}||size_factor=1.5||laborers=1||a_handlers=0||guards=1|
