#
# D&D 3e City Encounters
#
# This table's largely self-supporting but does call on a table called 'Wordy2' to generate a name.
# You can replace this with a call to your favourite Name gen table or remove it
# The races, gods and nations obviously are for my world, edit to suit.
# Hugh Foster hugh@ace-dog.com 2010
#

%Num%,0
%Num2%,0

:Start
1,<h1>Daytime Encounters</h1><ol><li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]<li>[Day]</ol><h1>Nighttime Encounters</h1><ol><li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]<li>[Night]</ol>

:Day
1,[MainDay] ([!Wordy2.Word], {Lcase~[GenTraits], [Mannerisms]})

:Night
1,[MainNight] ([!Wordy2.Word], {Lcase~[GenTraits], [Mannerisms]})

:MainDay
1-7,     {Cap~[JustRaceC]} Assassin; [hashlevel] {Dice~1d3} on business.
8-22,      Bandit; generally low-key.
23-61,     Beggar; {Dice~1d2}{If~{Dice~1d10} <= 1 ? is a thief L{Dice~1d6}/}.
62-68,     Brigand; as bandit.
69-99,   {Cap~[JustRaceC]} City guard; {Dice~2d8} mercenaries, {Dice~1d3} leaders at L{Dice~1d4+1} & a sorcerer L{Dice~1d4}
100-122, {Cap~[JustRaceC]} {If~{Dice~1d10} <= 9 ?minor/senior} city official. Guard of {Dice~1d4+1}, L{Dice~1d4}.
123-145, {Cap~[JustRaceC]} City watchman; 5 men & L{Dice~1d3} sergeant & L{Dice~1d4+1} cleric.
146-175, {Cap~[JustRaceC]} Cleric; [hashlevel], {Dice~1d6} assistants @ L{Dice~1d4}.
176-183,   Doppleganger; appears as [MainDay].
184-213, {Cap~[JustRaceC]} Druid; [hashlevel], with {If~{Dice~1d10} <= 5 ?{Dice~1d4} druids @ L{Dice~1d4}/{Dice~1d4} fighters @ L{Dice~1d4}}
214-225, {Cap~[JustRaceC]} Drunk; {Dice~1d4} bums
226-236, {Cap~[JustRaceC]} Drunk; [MainDay]
237-267, {Cap~[JustRaceC]} Fighter; [hashlevel] & {Dice~1d4} henchmen @ L{Dice~1d4}.
268-297, {Cap~[JustRaceC]} {If~{Dice~1d10} <= 2 ?Gentlewoman/Gentleman} Ari L{Dice~2d6}
298-328, Rats; {Dice~2d4} {If~{Dice~1d10} <= 7 ?normal/giant} rats.
329-358, {Cap~[JustRaceC]} Goodwife.
359-381, {Cap~[JustRaceC]} {If~{Dice~1d10} <= 2 ?houri L{Dice~1d6+1}/harlot{If~{Dice~1d10} <= 2 ? connected thieves' guild/}}
382-404, {Cap~[JustRaceC]} Illusionist; [hashlevel], {Dice~1d4} {If~{Dice~1d10} <= 2 ?apprentices/fighters} L{Dice~1d4}
405-442, {Cap~[JustRaceC]} {If~{Dice~1d2} = 1 ?Labourer; {Dice~3d4} rough workers/Peddlar; 1 travelling tinker}.
443-458, {Cap~[JustRaceC]} Wizard; [hashlevel]; {Dice~d4} henchmen {If~{Dice~1d10} <= 2 ?wizards L{Dice~1d6}/fighters L{Dice~1d6}}.
459-473, {Cap~[JustRaceC]} Sorcerer; [hashlevel]; {Dice~d4} henchmen {If~{Dice~1d10} <= 2 ?sorcerers L{Dice~1d6}/fighters L{Dice~1d6}}.
474-503, {Cap~[JustRaceC]} Mercenaries; {Dice~3d4} 0-level soldiers. {Dice~1d3} L Party Level-{Dice~2d10} leaders.
504-541, {Cap~[JustRaceC]} {If~{Dice~1d10} <= 1 ?Rich /}[Merchant]; {Dice~1d3}; {If~{Dice~1d10} <= 1 ?rich/} {Dice~1d3} 0-level guards.
542-550, {Cap~[JustRaceC]} Monk; [hashlevel] travelling
551-557, {Cap~[JustRaceC]} Bard; [hashlevel] {If~{Dice~1d10} <= 5 ?looking for employ/entertaining on spec}
558-580, {Cap~[JustRaceC]} Noble{If~{Dice~1d100} <= 25 ?woman/man}; Ari [hashlevel]. {Dice~d4+1} guards of L{Dice~2d6}. Retinue, {Dice~2d6} L{Dice~1d4} courtiers.
581-603, {Cap~[JustRaceC]} Paladin; [hashlevel]. Indistinguishable from fighter.
604-625, {Cap~[JustRaceC]} Pilgrim; |Num={Dice~3d4}|%Num%. 1 classed per 4.
626-648, {If~{Dice~1d100} <= 25 ?Drunken rake/Rake}; {Dice~d4+1} young gentlemen. Rude.
649-671, {Cap~[JustRaceC]} Ranger; [hashlevel]. Indistiguishable from fighter.
672-687, Ruffian; {Dice~d6+6} L2 shabby ftrs. {If~{Dice~1d100} <= 5 ? one L{Dice~1d4+4} assassin./}
