#
# Mutations (Assumes Humanoid)
# Roll d10 and see if the result is equal or less than Willpower Bonus.  If it is, let them pick a Primary Mutation Group, instead of Rolling Randomly.


:Start
1,<b><u>Mutations</u></b>{CR~}{Loop~{Dice~1d5},[Basic Primary Mutation Groups]{CR~}}{Loop~{Dice~1d5},[Defects]{CR~}}

:Basic Primary Mutation Groups
1-12,<b><i>Clairsentient Mutation: </i></b>[Clairsentient Mutations]
13-24,<b><i>Psychokinetic Mutation: </i></b>[Psychokinetic Mutations]
25-48,<b><i>Telepathic Mutation: </i></b>[Telepathic Mutations]
49-72,<b><i>Metabolic Mutation: </i></b>[Metabolic Mutations]
73-96,<b><i>Body Change: </i></b>[Body Changes]
97-100,<b>Psychoportive Power: </b>[Psychoportive Powers]

:Clairsentient Mutations
1,360 Vision
2,Aura Vision
3,Clairaudiance
4,Clairvoyance
5,Danger Sense
6,Detect Psionics
7,Intuition
8,Know Direction/Location
9,Predict Weather
10,Psychic Tracking
11,Psychometry
12,Radar Sense
13,Radial Navigation
14,Read Psychic Impressions
15,Truth Ear/Detect Lie

:Psychokinetic Mutations
1,Animate Plants
2,Ballistic Attack
3,Body Equilibrium
4,Control Flames/Water
5,Detonate
6,Disintegrate
7,Energy Containment
8,Cryokinesis
9,Force Field Generation
10,Kinetic Negation
11,Levitation
12,Light Generation
13,Magnetic Control
14,Molecular Rearrangement
15,Physical Reflect
16,Project Force
17,Psychic Blade
18,Pyrokinesis
19,Repulsion Field
20,Telekinesis
21,Telekinetic Flight

:Telepathic Mutations
1,Animal Empathy
2,Aura
3,Brain Drain
4,Conceal Thoughts
5,Confusion
6,Death Field Generation
7,Domination
8,Empathy
9,False Sensory Input
10,Identity Penetration
11,Illusion Generation
12,Mental Immunity
13,Inflict Pain
14,Invisibility
15,Life Detect
16,Mass Domination
17,Mental Absorption
18,Mental Blast
19,Mental Paralysis
20,Mental Shield
21,Mind Bar
22,Mind Link
23,Mind Probe
24,Mind Wipe
25,Molecular Sense
26,Phobia Amplification
27,Plant Control
28,Plant Growth
29,Psychic Messenger
30,Send Thoughts
31,Sense Link
32,Speak Tongues
33,Strip Mutation
34,Summoning
35,Superior Invisibility
36,Synaptic Static
37,Telepathy
38,Thought Imitation

:Metabolic Mutations
1,Absorb Disease
2,Acid Secretion
3,Acid Spray
4,Adrenalin Control
5,Animal Form
6,Anti-Life Leach
7,Audio Mimic
8,Biofeedback
9,Body Control
10,Body Weaponry
11,Bubble Prison
12,Catfall
13,Cause Decay
14,Cellular Stimulation
15,Chameleon Ability
16,Chemical Reproduction
17,Cure
18,Cure Poison
19,Cure Radiation
20,Cure Toxin
21,Displacement
22,Dual Brain
23,Echo Location
24,Ectoplasmic Form
25,Elastic Enhancement
26,Energy Absorb
27,Energy Blast
28,Energy Metamorphosis
29,Expansion/Growth
30,Gas/Spore Generation
31,Genius Brain
32,Ghosting
33,Graft Weapon
34,Healing Touch
35,Heightened Physical Abilities
36,Heightened Constitution
37,Heightened Dexterity
38,Heightened Strength
39,Heightened Senses
40,Heightened Senses - Sight
41,Heightened Senses - Smell
42,Heightened Senses - Sound
43,Heightened Senses - Taste
44,Heightened Speed
45,Infravision
46,Leather Hide
47,Lend Health
48,Low Light Vision
49,Metamorphosis
50,Mind Over Body
51,Partial Carapace
52,Photodermal Transformation
53,Physical Immunity
54,Poison Glands
55,Poison Secretion
56,Reduction/Shrink
57,Regeneration
58,Second Head
59,Shape Change
60,Share Strength
61,Silk Crebullum
62,Skeletal Enhancement
63,Sonic Scream
64,Speed Burst
65,Static Field
66,Suspect Animation
67,Total Carapace
68,Ultravision
69,Vampiric Touch

:Body Changes
1,Canine Teeth
2,Claws
3,Climbing Claw
4,Extra Limbs
5,Extra Sensory Organs
6,Eyestalks
7,Flexible
8,Gills/Water Breath
9,Glide Membrane
10,Horns
11,Larger
12,Living Hair
13,Mandibles
14,Marsupial
15,Pigmentation Change
16,Pincers
17,Predatory Bird Beak
18,Predatory Birds Feet
19,Prehensile Tail
20,Quills
21,Scent
22,Siphon Mouth
23,Smaller
24,Spikes
25,Stinger
26,Suckers
27,Tentacles
28,Wings,Leathery/Feathery
29,Webbed Hands & Feet

:Psychoportive Powers
1,Astral Projection
2,Phase Door
3,Dream Travel
4,Teleport
5,Teleport Object
6,Time Shift

:Defects
1-70,<b><i>Physical Defect: </i></b>[Physical Defects]
71-100,<b><i>Mental Defect: </i></b>[Mental Defects]

:Physical Defects
1,Achilles Heel ([Achilles Heel])
