#Shared materials tables
#This way, you just have to edit everything once. ;)
%Base%,1
%STVR%,0
%Rolls%,0
%Quantity%,0
%PricePer%,1
      
:Start
1,This table cannot be run stand-alone.


#From Sean Hlousek's tables

#Need to revise these ro be more appropriate to WoW
:WeaponMetals
1-80, made of Steel.
81-85, made of Iron. |Base-{Calc~({Dice~1d10+5}/100)*%Base%}|
86-94, made of Nickle. |Base+{Calc~({Dice~1d5}/100)*%Base%}| 
95-100, made of Nickle-Silver. |Base+{Calc~({Dice~1d20+20}/100)*%Base%}| 
101, made of Copper. |Base+{Calc~({Dice~1d20+40}/100)*%Base%}| 
102-110, made of Bronze. |Base-{Calc~({Dice~1d10+10}/100)*%Base%}| 
111-121, made of Silver. |Base+{Calc~({Dice~1d20+90}/100)*%Base%}| 
122-123, made of Mithril. |Base+{Calc~({Dice~1d200+400}/100)*%Base%}| 
124, [UncommonWeaponMetal] 

:UncommonWeaponMetal
1-10, made of Gold. |Base+{Calc~({Dice~1d200+800}/100)*%Base%}| 
11-13, made of Truesilver. |Base=10||Base+{Calc~({Dice~1d200+800}/100)*%Base%}| 
14-17, made of Thorium. |Base=15||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
18-20, made of Dark Iron. |Base=30||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
21, [RareWeaponMetal]

:RareWeaponMetal
1-5, made of Khorium.  |Base=20||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
6-10, made of Fel Iron.  |Base=20||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
11-15, made of Adamantite.  |Base=20||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
16-20, made of Felsteel.  |Base=20||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
21-25, made of Arcanite.  |Base=10||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
26-28, made of Eternium.  |Base=35||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|
29, made of Elementium.  |Base=50||Base+{Calc~({Dice~1d200+800}/100)*%Base%}|

#HiltMaterial - revise
:HiltMaterial
1-10, Leather
11-14, Deer skin |Base+{Calc~({Dice~2d3}/100)*%Base%}|
15-18, Elk skin |Base+{Calc~({Dice~3d3}/100)*%Base%}|
19, Stretched Orc Skin |Base+{Calc~({Dice~2d8}/100)*%Base%}|
20, [SpecialHiltMaterial]

:SpecialHiltMaterial
1, Humanskin |Base-{Calc~({Dice~2d3}/100)*%Base%}|
